feature,importance
interest_rolling_mean_3h,13103
interest_lag_2h,11500
interest_lag_1h,10789
interest_rolling_std_3h,8821
interest_rolling_max_3h,5428
interest_rolling_mean_6h,4690
interest_rolling_std_6h,4096
interest_lag_24h,3811
interest_lag_6h,3731
interest_lag_3h,3662
interest_lag_12h,3562
interest_rolling_std_12h,3395
interest_rolling_mean_24h,3013
interest_rolling_std_24h,2947
interest_rolling_mean_12h,2934
interest_rolling_max_6h,2224
hour,2054
interest_rolling_max_24h,1921
interest_rolling_max_12h,1816
day_of_week_num,1290
day_of_month,1058
category_encoded,924
is_afternoon,104
is_morning,76
is_peak_morning,62
is_peak_lunch,51
is_peak_evening,50
is_weekend,19
is_evening,16
is_night,13
